Player Number,Player Info,Mills PWA,Win Points,Loss Points,Net Points,Situations,=,Average Points,Player Info 2
46,"Posada,Jorge,B,R,NYA,C",0.553,22510,18165,+4345,551,=,+8,"Posada,Jorge,B,R,NYA,C"
47,"Hall,Bill,R,R,MIL,SS",0.544,26925,22607,+4318,627,=,+7,"Hall,Bill,R,R,MIL,SS"
48,"Soriano,Alfonso,R,R,WASF",0.539,29424,25128,+4296,792,=,+5,"Soriano,Alfonso,R,R,WASF"
49,"Rollins,Jimmy,B,R,PHI,S",0.541,28587,24297,+4290,799,=,+5,"Rollins,Jimmy,B,R,PHI,S"
50,"Giles,Marcus,R,R,ATL,2B",0.546,24868,20697,+4171,647,=,+6,"Giles,Marcus,R,R,ATL,2B"
52,"Konerko,Paul,R,R,CHA,1B",0.542,26725,22618,+4106,648,=,+6,"Konerko,Paul,R,R,CHA,1B"
53,"Jones,Jacque,L,L,CHN,OF",0.546,24108,20011,+4096,595,=,+7,"Jones,Jacque,L,L,CHN,OF"
54,"Alou,Moises,R,R,SFN,RF",0.561,18322,14313,+4009,383,=,+10,"Alou,Moises,R,R,SFN,RF"
55,"Spiezio,Scott,B,R,SLN,3",0.584,13646,9712,+3935,326,=,+12,"Spiezio,Scott,B,R,SLN,3"
56,"German,Esteban,R,R,KCA,",0.585,13335,9476,+3859,347,=,+11,"German,Esteban,R,R,KCA,"
57,"Overbay,Lyle,L,L,TOR,1B",0.543,24135,20276,+3858,649,=,+6,"Overbay,Lyle,L,L,TOR,1B"
58,"Ibanez,Raul,L,R,SEA,OF",0.538,27231,23397,+3834,713,=,+5,"Ibanez,Raul,L,R,SEA,OF"
59,"Ramirez,Hanley,R,R,FLO,",0.539,25919,22132,+3786,779,=,+5,"Ramirez,Hanley,R,R,FLO,"
60,"Bradley,Milton,B,R,OAK,",0.565,16446,12673,+3773,421,=,+9,"Bradley,Milton,B,R,OAK,"
62,"Mora,Melvin,R,R,BAL,3B",0.538,26194,22491,+3703,722,=,+5,"Mora,Melvin,R,R,BAL,3B"
63,"Sanchez,Freddy,R,R,PIT,",0.540,24673,20983,+3689,649,=,+6,"Sanchez,Freddy,R,R,PIT,"
64,"Griffey,Ken,L,L,CIN,OF",0.545,21710,18117,+3594,478,=,+8,"Griffey,Ken,L,L,CIN,OF"
65,"Gross,Gabe,L,R,MIL,OF",0.592,11173,7701,+3472,257,=,+14,"Gross,Gabe,L,R,MIL,OF"
66,"Matthews,Gary,B,R,TEX,O",0.537,24633,21213,+3420,714,=,+5,"Matthews,Gary,B,R,TEX,O"
67,"Payton,Jay,R,R,OAK,OF",0.540,23340,19921,+3419,602,=,+6,"Payton,Jay,R,R,OAK,OF"
68,"Reyes,Jose,B,R,NYN,SS",0.533,26923,23547,+3376,796,=,+4,"Reyes,Jose,B,R,NYN,SS"
69,"Scott,Luke,L,R,HOU,OF",0.583,11817,8442,+3375,255,=,+13,"Scott,Luke,L,R,HOU,OF"
70,"Damon,Johnny,L,L,NYA,OF",0.536,25120,21773,+3347,706,=,+5,"Damon,Johnny,L,L,NYA,OF"
72,"Jackson,Conor,R,R,ARI,1",0.536,22353,19364,+2989,566,=,+5,"Jackson,Conor,R,R,ARI,1"
73,"Wigginton,Ty,R,R,TBA,3B",0.540,19910,16940,+2970,495,=,+6,"Wigginton,Ty,R,R,TBA,3B"
74,"Renteria,Edgar,R,R,ATL,",0.532,24854,21889,+2965,700,=,+4,"Renteria,Edgar,R,R,ATL,"
75,"Murton,Matt,R,R,CHN,OF",0.541,19193,16266,+2927,520,=,+6,"Murton,Matt,R,R,CHN,OF"
76,"Bay,Jason,R,R,PIT,OF",0.527,28653,25730,+2922,710,=,+4,"Bay,Jason,R,R,PIT,OF"
77,"Baker,Jeff,R,R,COL,3B",0.714,4659,1865,+2794,63,=,+44,"Baker,Jeff,R,R,COL,3B"
78,"Ordonez,Magglio,R,R,DETF",0.529,25346,22582,+2765,659,=,+4,"Ordonez,Magglio,R,R,DETF"
79,"Hudson,Orlando,B,R,ARI,",0.531,23318,20557,+2761,672,=,+4,"Hudson,Orlando,B,R,ARI,"
80,"Suzuki,Ichiro,L,R,SEA,O",0.528,26116,23390,+2726,813,=,+3,"Suzuki,Ichiro,L,R,SEA,O"
82,"Jones,Chipper,B,R,ATL,3",0.540,18247,15557,+2690,488,=,+6,"Jones,Chipper,B,R,ATL,3"
83,"Anderson,Marlon,L,R,LANB",0.557,12663,10061,+2602,326,=,+8,"Anderson,Marlon,L,R,LANB"
84,"Burrell,Pat,R,R,PHI,OF",0.529,23805,21224,+2581,570,=,+5,"Burrell,Pat,R,R,PHI,OF"
85,"LaRoche,Adam,L,L,ATL,1B",0.530,22829,20264,+2565,565,=,+5,"LaRoche,Adam,L,L,ATL,1B"
86,"Theriot,Ryan,R,R,CHN,SS",0.605,7160,4680,+2480,174,=,+14,"Theriot,Ryan,R,R,CHN,SS"
87,"Tejada,Miguel,R,R,BAL,S",0.525,26040,23603,+2437,729,=,+3,"Tejada,Miguel,R,R,BAL,S"
88,"Willingham,Josh,R,R,FLO",0.528,22409,20013,+2396,581,=,+4,"Willingham,Josh,R,R,FLO"
89,"Monroe,Craig,R,R,DET,OF",0.525,24408,22062,+2346,592,=,+4,"Monroe,Craig,R,R,DET,OF"
90,"Giles,Brian,L,L,SDN,OF",0.522,27298,25013,+2285,733,=,+3,"Giles,Brian,L,L,SDN,OF"
92,"Valentin,Jose,B,R,NYN,S",0.537,16461,14191,+2270,444,=,+5,"Valentin,Jose,B,R,NYN,S"
93,"Rodriguez,Alex,R,R,NYA,",0.521,27270,25065,+2205,695,=,+3,"Rodriguez,Alex,R,R,NYA,"
94,"Dunn,Adam,L,R,CIN,OF",0.523,25525,23321,+2204,688,=,+3,"Dunn,Adam,L,R,CIN,OF"
95,"Aurilia,Rich,R,R,CIN,3B",0.530,19032,16873,+2160,485,=,+4,"Aurilia,Rich,R,R,CIN,3B"
96,"Thames,Marcus,R,R,DET,O",0.536,15784,13647,+2137,392,=,+5,"Thames,Marcus,R,R,DET,O"
97,"Sweeney,Mike,R,R,KCA,1B",0.548,11372,9387,+1985,252,=,+8,"Sweeney,Mike,R,R,KCA,1B"
98,"Church,Ryan,L,L,WAS,OF",0.552,10166,8237,+1930,241,=,+8,"Church,Ryan,L,L,WAS,OF"
99,"Piazza,Mike,R,R,SDN,C",0.526,19226,17297,+1930,443,=,+4,"Piazza,Mike,R,R,SDN,C"
100,"Chavez,Eric,L,R,OAK,3B",0.523,21940,20019,+1921,581,=,+3,"Chavez,Eric,L,R,OAK,3B"
102,"Cabrera,Melky,B,L,NYA,O",0.525,18810,17015,+1795,553,=,+3,"Cabrera,Melky,B,L,NYA,O"
103,"Ross,David,R,R,CIN,C",0.538,12267,10543,+1724,297,=,+6,"Ross,David,R,R,CIN,C"
104,"Crawford,Carl,L,L,TBA,O",0.517,24486,22863,+1623,725,=,+2,"Crawford,Carl,L,L,TBA,O"
105,"DeJesus,David,L,L,KCA,C",0.522,19204,17583,+1620,571,=,+3,"DeJesus,David,L,L,KCA,C"
106,"Chavez,Endy,L,L,NYN,OF",0.530,14210,12599,+1611,404,=,+4,"Chavez,Endy,L,L,NYN,OF"
107,"Cano,Robinson,L,R,NYA,2",0.521,19422,17856,+1566,526,=,+3,"Cano,Robinson,L,R,NYA,2"
108,"Ensberg,Morgan,R,R,HOU,",0.521,18489,16978,+1512,502,=,+3,"Ensberg,Morgan,R,R,HOU,"
109,"Loretta,Mark,R,R,BOS,3B",0.515,25509,24017,+1492,727,=,+2,"Loretta,Mark,R,R,BOS,3B"
110,"Guiel,Aaron,L,R,KCA,OF",0.572,5900,4416,+1484,156,=,+10,"Guiel,Aaron,L,R,KCA,OF"
112,"Lofton,Kenny,L,L,LAN,OF",0.519,20006,18558,+1448,562,=,+3,"Lofton,Kenny,L,L,LAN,OF"
113,"Iguchi,Tadahito,R,R,CHAB",0.517,21543,20101,+1442,650,=,+2,"Iguchi,Tadahito,R,R,CHAB"
114,"Gonzalez,Adrian,L,L,SDNB",0.516,23483,22044,+1440,637,=,+2,"Gonzalez,Adrian,L,L,SDNB"
115,"Rolen,Scott,R,R,SLN,3B",0.516,22850,21414,+1436,611,=,+2,"Rolen,Scott,R,R,SLN,3B"
116,"Ozuna,Pablo,R,R,CHA,2B",0.544,8578,7178,+1401,219,=,+6,"Ozuna,Pablo,R,R,CHA,2B"
117,"Palmeiro,Orlando,L,R,HOOF",0.559,6385,5042,+1343,130,=,+10,"Palmeiro,Orlando,L,R,HOOF"
118,"Duncan,Chris,L,R,SLN,1B",0.530,11565,10246,+1319,316,=,+4,"Duncan,Chris,L,R,SLN,1B"
119,"Molina,Bengie,R,R,TOR,C",0.522,15983,14664,+1319,467,=,+3,"Molina,Bengie,R,R,TOR,C"
120,"Jacobs,Mike,L,R,FLO,1B",0.516,21075,19780,+1295,524,=,+2,"Jacobs,Mike,L,R,FLO,1B"
122,"Furcal,Rafael,B,R,LAN,S",0.513,24617,23334,+1283,792,=,+2,"Furcal,Rafael,B,R,LAN,S"
123,"Markakis,Nick,L,R,BAL,O",0.517,19201,17950,+1251,551,=,+2,"Markakis,Nick,L,R,BAL,O"
124,"DaVanon,Jeffrey,B,R,ARIF",0.534,9783,8536,+1247,271,=,+5,"DaVanon,Jeffrey,B,R,ARIF"
125,"Cabrera,Orlando,R,R,ANAS",0.513,24289,23042,+1246,718,=,+2,"Cabrera,Orlando,R,R,ANAS"
126,"Branyan,Russ,L,R,SDN,3B",0.529,11201,9981,+1220,288,=,+4,"Branyan,Russ,L,R,SDN,3B"
127,"Millar,Kevin,R,R,BAL,1B",0.517,18189,16971,+1218,513,=,+2,"Millar,Kevin,R,R,BAL,1B"
128,"Shealy,Ryan,R,R,COL,1B",0.533,9681,8482,+1200,224,=,+5,"Shealy,Ryan,R,R,COL,1B"
129,"Dellucci,David,L,L,PHI,",0.527,11697,10514,+1183,306,=,+4,"Dellucci,David,L,L,PHI,"
130,"Young,Delmon,R,R,TBA,OF",0.564,5037,3890,+1148,138,=,+8,"Young,Delmon,R,R,TBA,OF"
132,"Tyner,Jason,L,L,MIN,OF",0.538,7941,6828,+1112,245,=,+5,"Tyner,Jason,L,L,MIN,OF"
133,"Kent,Jeff,R,R,LAN,2B",0.516,17025,15960,+1065,477,=,+2,"Kent,Jeff,R,R,LAN,2B"
134,"Koskie,Corey,L,R,MIL,3B",0.525,10533,9514,+1019,300,=,+3,"Koskie,Corey,L,R,MIL,3B"
135,"Garko,Ryan,R,R,CLE,C",0.531,8549,7542,+1008,213,=,+5,"Garko,Ryan,R,R,CLE,C"
136,Lo,0.513,18764,17806,+958,560,=,+2,Lo
137,"Cameron,Mike,R,R,SDN,OF",0.510,24550,23593,+957,682,=,+1,"Cameron,Mike,R,R,SDN,OF"
138,"Saenz,Olmedo,R,R,LAN,3B",0.526,9795,8842,+953,204,=,+5,"Saenz,Olmedo,R,R,LAN,3B"
139,"Ward,Daryle,L,L,ATL,1B",0.539,6476,5540,+937,153,=,+6,"Ward,Daryle,L,L,ATL,1B"
140,"Kielty,Bobby,B,R,OAK,OF",0.521,11302,10377,+925,302,=,+3,"Kielty,Bobby,B,R,OAK,OF"
142,"Gonzalez,Luis,L,R,ARI,O",0.509,23310,22514,+797,677,=,+1,"Gonzalez,Luis,L,R,ARI,O"
143,"Bartlett,Jason,R,R,MIN,",0.517,11956,11175,+781,390,=,+2,"Bartlett,Jason,R,R,MIN,"
144,"Coste,Chris,R,R,PHI,3B",0.524,8298,7534,+764,218,=,+4,"Coste,Chris,R,R,PHI,3B"
145,"Loney,James,L,L,LAN,1B",0.553,3978,3222,+757,112,=,+7,"Loney,James,L,L,LAN,1B"
146,"Martinez,Ramon,R,R,LAN,",0.528,7087,6343,+743,198,=,+4,"Martinez,Ramon,R,R,LAN,"
147,"Rivera,Juan,R,R,ANA,OF",0.510,18301,17572,+729,500,=,+1,"Rivera,Juan,R,R,ANA,OF"
148,"Hill,Aaron,R,R,TOR,2B",0.510,19240,18512,+728,617,=,+1,"Hill,Aaron,R,R,TOR,2B"
149,"Fielder,Prince,L,R,MIL,",0.508,23557,22836,+721,662,=,+1,"Fielder,Prince,L,R,MIL,"
150,"Barrett,Michael,R,R,CHN",0.512,15333,14620,+713,421,=,+2,"Barrett,Michael,R,R,CHN"
152,"Beltre,Adrian,R,R,SEA,3",0.507,25046,24351,+696,703,=,+1,"Beltre,Adrian,R,R,SEA,3"
153,"Rowand,Aaron,R,R,PHI,OF",0.511,16318,15627,+691,460,=,+2,"Rowand,Aaron,R,R,PHI,OF"
154,"Schneider,Brian,L,R,WAS",0.510,17796,17120,+676,460,=,+1,"Schneider,Brian,L,R,WAS"
155,"Lopez,Felipe,B,R,CIN,SS",0.507,25166,24495,+671,776,=,+1,"Lopez,Felipe,B,R,CIN,SS"
156,"Pena,Wily,R,R,BOS,OF",0.513,12727,12080,+648,309,=,+2,"Pena,Wily,R,R,BOS,OF"
157,"Bruntlett,Eric,R,R,HOU,",0.536,4660,4032,+628,141,=,+4,"Bruntlett,Eric,R,R,HOU,"
158,"Sweeney,Mark,L,L,SFN,1B",0.515,10463,9859,+604,292,=,+2,"Sweeney,Mark,L,L,SFN,1B"
159,"Phillips,Jason,R,R,TOR,",0.587,2030,1429,+602,52,=,+12,"Phillips,Jason,R,R,TOR,"
160,"Lind,Adam,L,L,TOR,OF",0.549,3373,2774,+599,66,=,+9,"Lind,Adam,L,L,TOR,OF"
162,"Izturis,Maicer,B,R,ANA,",0.511,13854,13261,+593,424,=,+1,"Izturis,Maicer,B,R,ANA,"
163,"Johnson,Reed,R,R,TOR,OF",0.509,16963,16379,+584,534,=,+1,"Johnson,Reed,R,R,TOR,OF"
164,"Broussard,Ben,L,L,CLE,1",0.510,14741,14157,+584,479,=,+1,"Broussard,Ben,L,L,CLE,1"
165,"Dobbs,Greg,L,R,SEA,3B",0.601,1701,1131,+570,30,=,+19,"Dobbs,Greg,L,R,SEA,3B"
166,"Perez,Eduardo,R,R,CLE,1",0.517,8139,7594,+544,213,=,+3,"Perez,Eduardo,R,R,CLE,1"
167,"Cintron,Alex,B,R,CHA,SS",0.513,10492,9973,+519,323,=,+2,"Cintron,Alex,B,R,CHA,SS"
168,"Stewart,Shannon,R,R,MINF",0.518,7281,6769,+512,197,=,+3,"Stewart,Shannon,R,R,MINF"
169,"Sierra,Ruben,B,R,MIN,OF",0.604,1426,935,+491,34,=,+14,"Sierra,Ruben,B,R,MIN,OF"
170,"Tucker,Michael,L,R,NYN,",0.546,2881,2395,+486,76,=,+6,"Tucker,Michael,L,R,NYN,"
172,"Ortmeier,Dan,B,L,SFN,OF",0.724,778,297,+481,12,=,+40,"Ortmeier,Dan,B,L,SFN,OF"
173,"Norton,Greg,B,R,TBA,3B",0.509,13244,12767,+477,347,=,+1,"Norton,Greg,B,R,TBA,3B"
174,"Santos,Chad,L,L,SFN,1B",0.895,538,63,+475,8,=,+59,"Santos,Chad,L,L,SFN,1B"
175,"Olmedo,Ray,B,R,CIN,SS",0.578,1732,1266,+465,51,=,+9,"Olmedo,Ray,B,R,CIN,SS"
176,"Pena,Carlos,L,L,BOS,1B",0.566,1988,1525,+463,38,=,+12,"Pena,Carlos,L,L,BOS,1B"
177,"Fiorentino,Jeffrey,L,R,L,O",0.566,1983,1524,+459,50,=,+9,"Fiorentino,Jeffrey,L,R,L,O"
178,"Milledge,Lastings,R,R,N,OF",0.520,5982,5523,+459,189,=,+2,"Milledge,Lastings,R,R,N,OF"
179,"Lowell,Mike,R,R,BOS,3B",0.505,23720,23280,+440,642,=,+1,"Lowell,Mike,R,R,BOS,3B"
180,"Pena,Brayan,B,R,ATL,C",0.563,1824,1417,+407,44,=,+9,"Pena,Brayan,B,R,ATL,C"
182,"Varitek,Jason,B,R,BOS,C",0.506,15411,15026,+385,420,=,+1,"Varitek,Jason,B,R,BOS,C"
183,"Beckett,Josh,R,R,BOS,P",0.828,485,101,+384,7,=,+55,"Beckett,Josh,R,R,BOS,P"
184,"McAnulty,Paul,L,R,SDN,1",0.608,1067,687,+380,15,=,+25,"McAnulty,Paul,L,R,SDN,1"
185,"Sexson,Richie,R,R,SEA,1",0.504,26259,25881,+378,672,=,+1,"Sexson,Richie,R,R,SEA,1"
186,"Tatis,Fernando,R,R,BAL,",0.552,1944,1575,+370,65,=,+6,"Tatis,Fernando,R,R,BAL,"
187,"Inglett,Joe,L,R,CLE,2B",0.514,6564,6198,+365,232,=,+2,"Inglett,Joe,L,R,CLE,2B"
188,"Jimerson,Charlton,R,R,H,OF",0.815,460,104,+356,8,=,+44,"Jimerson,Charlton,R,R,H,OF"
189,"Lee,Derrek,R,R,CHN,1B",0.511,8498,8143,+355,212,=,+2,"Lee,Derrek,R,R,CHN,1B"
190,"Redmond,Mike,R,R,MIN,C",0.514,6272,5933,+339,195,=,+2,"Redmond,Mike,R,R,MIN,C"
192,"Huff,Aubrey,L,R,HOU,OF",0.504,18271,17961,+310,526,=,+1,"Huff,Aubrey,L,R,HOU,OF"
193,"Clevlen,Brent,R,R,DET,O",0.546,1735,1442,+293,42,=,+7,"Clevlen,Brent,R,R,DET,O"
194,"Botts,Jason,B,R,TEX,OF",0.535,2033,1766,+266,60,=,+4,"Botts,Jason,B,R,TEX,OF"
195,"Mays,Joe,B,R,CIN,P",0.642,602,336,+266,10,=,+27,"Mays,Joe,B,R,CIN,P"
196,"Willits,Reggie,B,R,ANA,",0.528,2458,2193,+265,65,=,+4,"Willits,Reggie,B,R,ANA,"
197,"Wood,Kerry,R,R,CHN,P",0.761,366,115,+251,6,=,+42,"Wood,Kerry,R,R,CHN,P"
198,"Klesko,Ryan,L,L,SDN,OF",0.862,282,45,+237,6,=,+39,"Klesko,Ryan,L,L,SDN,OF"
199,"Crede,Joe,R,R,CHA,3B",0.503,21978,21751,+227,592,=,+0,"Crede,Joe,R,R,CHA,3B"
200,"Thompson,Kevin,R,R,NYA,",0.540,1482,1262,+220,40,=,+5,"Thompson,Kevin,R,R,NYA,"
202,"Hairston,Scott,R,R,ARI,",0.580,763,553,+210,16,=,+13,"Hairston,Scott,R,R,ARI,"
203,"Freel,Ryan,R,R,CIN,OF",0.503,17742,17536,+206,583,=,+0,"Freel,Ryan,R,R,CIN,OF"
204,"Cirillo,Jeff,R,R,MIL,3B",0.505,10257,10052,+205,297,=,+1,"Cirillo,Jeff,R,R,MIL,3B"
205,"Gibbons,Jay,L,L,BAL,OF",0.503,14637,14439,+199,382,=,+1,"Gibbons,Jay,L,L,BAL,OF"
206,"Lewis,Fred,L,R,SFN,OF",0.724,288,110,+178,12,=,+15,"Lewis,Fred,L,R,SFN,OF"
207,"Hopper,Norris,R,R,CIN,O",0.536,1289,1117,+172,50,=,+3,"Hopper,Norris,R,R,CIN,O"
208,"Kennedy,Adam,L,R,ANA,2B",0.502,18688,18518,+169,535,=,+0,"Kennedy,Adam,L,R,ANA,2B"
209,"Hatteberg,Scott,L,R,CINB",0.502,17207,17038,+169,545,=,+0,"Hatteberg,Scott,L,R,CINB"
210,"Stairs,Matt,L,R,DET,OF",0.503,14462,14298,+164,397,=,+0,"Stairs,Matt,L,R,DET,OF"
212,"Prado,Martin,R,R,ATL,2B",0.517,2083,1943,+140,49,=,+3,"Prado,Martin,R,R,ATL,2B"
213,"Nevin,Phil,R,R,CHN,1B",0.502,16582,16451,+131,454,=,+0,"Nevin,Phil,R,R,CHN,1B"
214,"Pineiro,Joel,R,R,SEA,P",0.654,269,142,+127,6,=,+21,"Pineiro,Joel,R,R,SEA,P"
215,"Ortiz,Russ,R,R,ARI,P",0.596,383,259,+124,9,=,+14,"Ortiz,Russ,R,R,ARI,P"
216,"Vento,Mike,R,R,WAS,OF",0.560,566,444,+122,23,=,+5,"Vento,Mike,R,R,WAS,OF"
217,"Womack,Tony,L,R,CHN,2B",0.513,2438,2317,+121,82,=,+1,"Womack,Tony,L,R,CHN,2B"
218,"Denorfia,Chris,R,R,CIN,",0.507,4117,4010,+107,123,=,+1,"Denorfia,Chris,R,R,CIN,"
219,De,0.501,19574,19469,+105,587,=,+0,De
220,"Pena,Tony,R,R,ATL,SS",0.527,996,894,+102,46,=,+2,"Pena,Tony,R,R,ATL,SS"
222,"Lyon,Brandon,R,R,ARI,P",1.000,100,0,+100,1,=,+100,"Lyon,Brandon,R,R,ARI,P"
223,"Wilkerson,Brad,L,L,TEX,",0.502,12983,12891,+92,373,=,+0,"Wilkerson,Brad,L,L,TEX,"
224,"Thompson,Brad,R,R,SLN,P",0.981,90,2,+88,2,=,+44,"Thompson,Brad,R,R,SLN,P"
225,"Westbrook,Jake,R,R,CLE,",0.598,267,180,+88,5,=,+18,"Westbrook,Jake,R,R,CLE,"
226,"Broxton,Jonathan,R,R,LAP",0.702,138,59,+80,4,=,+20,"Broxton,Jonathan,R,R,LAP"
227,"Bannister,Brian,R,R,NYN",0.544,473,396,+77,13,=,+6,"Bannister,Brian,R,R,NYN"
228,"Rheinecker,John,L,L,TEX",1.000,75,0,+75,1,=,+75,"Rheinecker,John,L,L,TEX"
229,"Harris,Brendan,R,R,CIN,",0.511,1665,1593,+72,47,=,+2,"Harris,Brendan,R,R,CIN,"
230,"Lombard,George,L,R,WAS,",0.527,699,629,+70,28,=,+3,"Lombard,George,L,R,WAS,"
232,"Geary,Geoff,R,R,PHI,P",0.644,155,86,+69,6,=,+12,"Geary,Geoff,R,R,PHI,P"
233,"Huber,Justin,R,R,KCA,1B",0.549,379,311,+68,12,=,+6,"Huber,Justin,R,R,KCA,1B"
234,"Vazquez,Javier,R,R,CHA,",0.731,94,35,+59,2,=,+30,"Vazquez,Javier,R,R,CHA,"
235,"Owens,Jerry,L,L,CHA,OF",0.559,266,210,+56,10,=,+6,"Owens,Jerry,L,L,CHA,OF"
236,"Reese,Kevin,L,L,NYA,OF",0.538,369,317,+52,15,=,+3,"Reese,Kevin,L,L,NYA,OF"
237,"Munter,Scott,R,R,SFN,P",1.000,49,0,+49,1,=,+49,"Munter,Scott,R,R,SFN,P"
238,"Cust,Jack,L,R,SDN,OF",0.916,52,5,+48,3,=,+16,"Cust,Jack,L,R,SDN,OF"
239,"Jimenez,Ubaldo,R,R,COL,",0.709,73,30,+43,3,=,+14,"Jimenez,Ubaldo,R,R,COL,"
240,"Weeks,Rickie,R,R,MIL,2B",0.501,15238,15195,+43,443,=,+0,"Weeks,Rickie,R,R,MIL,2B"
242,"Wainwright,Adam,R,R,SLN",0.551,226,184,+42,6,=,+7,"Wainwright,Adam,R,R,SLN"
